sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
101,EVT,1771090376.03664,1771090377.0761359,1039.4959449768066
102,EVT,1771090377.035704,1771090378.083517,1047.8131771087646
103,EVT,1771090378.035851,1771090379.0904992,1054.6481609344482
104,EVT,1771090379.036084,1771090380.0975382,1061.4542961120605
105,EVT,1771090380.035823,1771090381.1043575,1068.5343742370605
106,EVT,1771090381.036654,1771090382.1125805,1075.9265422821045
107,EVT,1771090382.036215,1771090383.1203659,1084.150791168213
108,EVT,1771090383.035837,1771090384.127574,1091.7370319366455
109,EVT,1771090384.035817,1771090385.1347103,1098.893404006958
110,EVT,1771090385.035709,1771090386.1436665,1107.9576015472412
111,EVT,1771090386.03581,1771090387.0524566,1016.6466236114502
112,EVT,1771090387.035768,1771090388.059469,1023.7009525299072
113,EVT,1771090388.036238,1771090389.0676224,1031.3844680786133
114,EVT,1771090389.036171,1771090390.0752902,1039.1192436218262
115,EVT,1771090390.035841,1771090391.0838375,1047.9965209960938
116,EVT,1771090391.03691,1771090392.0925376,1055.6275844573975
117,EVT,1771090392.037794,1771090393.1007316,1062.9374980926514
118,EVT,1771090393.036561,1771090394.1094809,1072.9198455810547
119,EVT,1771090394.036643,1771090395.1174595,1080.8165073394775
120,EVT,1771090395.036996,1771090396.1246133,1087.6173973083496
121,EVT,1771090396.036115,1771090397.131534,1095.41916847229
122,EVT,1771090397.035891,1771090398.139838,1103.9469242095947
123,EVT,1771090398.035729,1771090399.147107,1111.3779544830322
124,EVT,1771090399.035967,1771090400.054662,1018.6948776245117
125,EVT,1771090400.037162,1771090401.0627162,1025.5541801452637
126,EVT,1771090401.03571,1771090402.0698674,1034.1572761535645
127,EVT,1771090402.035897,1771090403.0765154,1040.6184196472168
128,EVT,1771090403.036201,1771090404.083524,1047.3229885101318
129,EVT,1771090404.035726,1771090405.090986,1055.2599430084229
130,EVT,1771090405.03574,1771090406.0978875,1062.147617340088
131,EVT,1771090406.035717,1771090407.1052384,1069.521427154541
132,EVT,1771090407.035783,1771090408.1126978,1076.9147872924805
133,EVT,1771090408.035901,1771090409.1196065,1083.7054252624512
134,EVT,1771090409.035914,1771090410.1275918,1091.6779041290283
135,EVT,1771090410.03574,1771090411.135238,1099.4980335235596
136,EVT,1771090411.035997,1771090412.142025,1106.0280799865723
137,EVT,1771090412.035898,1771090413.149838,1113.9400005340576
138,EVT,1771090413.03579,1771090414.0565498,1020.7598209381104
139,EVT,1771090414.035872,1771090415.0634966,1027.6246070861816
140,EVT,1771090415.035661,1771090416.0706594,1034.9984169006348
141,EVT,1771090416.036019,1771090417.0776138,1041.5947437286377
142,EVT,1771090417.034325,1771090418.0843291,1050.004243850708
143,EVT,1771090418.036379,1771090419.0915604,1055.1812648773193
144,EVT,1771090419.035933,1771090420.0995593,1063.6262893676758
145,EVT,1771090420.035841,1771090421.1064854,1070.6443786621094
146,EVT,1771090421.035816,1771090422.1134274,1077.6114463806152
147,EVT,1771090422.035721,1771090423.1215482,1085.827112197876
148,EVT,1771090423.036565,1771090424.1291335,1092.5683975219727
149,EVT,1771090424.036066,1771090425.136656,1100.5899906158447
150,EVT,1771090425.035833,1771090426.144468,1108.6351871490479
151,EVT,1771090426.036228,1771090427.0519927,1015.7647132873535
152,EVT,1771090427.0359,1771090428.0620036,1026.1034965515137
153,EVT,1771090428.035706,1771090429.068945,1033.2388877868652
154,EVT,1771090429.035808,1771090430.0758557,1040.0476455688477
155,EVT,1771090430.036096,1771090431.0831575,1047.0614433288574
156,EVT,1771090431.037281,1771090432.090454,1053.1730651855469
157,EVT,1771090432.037278,1771090433.0974367,1060.1587295532227
158,EVT,1771090433.035968,1771090434.104661,1068.692922592163
159,EVT,1771090434.036251,1771090435.1116004,1075.3493309020996
160,EVT,1771090435.035727,1771090436.1189852,1083.2581520080566
161,EVT,1771090436.035779,1771090437.1260092,1090.2302265167236
162,EVT,1771090437.03606,1771090438.1335664,1097.5062847137451
163,EVT,1771090438.03599,1771090439.1404915,1104.501485824585
164,EVT,1771090439.035995,1771090440.147541,1111.5460395812988
165,EVT,1771090440.035699,1771090441.0537896,1018.0907249450684
166,EVT,1771090441.035748,1771090442.0605025,1024.754524230957
167,EVT,1771090442.035882,1771090443.0676754,1031.7933559417725
168,EVT,1771090443.036253,1771090444.0749834,1038.7303829193115
169,EVT,1771090444.035917,1771090445.0833302,1047.4131107330322
170,EVT,1771090445.036261,1771090446.0931602,1056.899070739746
171,EVT,1771090446.036695,1771090447.101378,1064.682960510254
172,EVT,1771090447.036048,1771090448.110543,1074.4950771331787
173,EVT,1771090448.037021,1771090449.1192474,1082.2265148162842
174,EVT,1771090449.036939,1771090450.128355,1091.4161205291748
175,EVT,1771090450.036127,1771090451.136646,1100.5189418792725
176,EVT,1771090451.037072,1771090452.145618,1108.5460186004639
177,EVT,1771090452.036089,1771090453.0538936,1017.8046226501465
178,EVT,1771090453.036678,1771090454.0619705,1025.2923965454102
179,EVT,1771090454.036112,1771090455.069741,1033.6289405822754
180,EVT,1771090455.035904,1771090456.077835,1041.93115234375
181,EVT,1771090456.036046,1771090457.0871463,1051.100254058838
182,EVT,1771090457.036232,1771090458.0969746,1060.7426166534424
183,EVT,1771090458.036624,1771090459.1055975,1068.9735412597656
184,EVT,1771090459.036089,1771090460.1134117,1077.3227214813232
185,EVT,1771090460.036178,1771090461.1211405,1084.9623680114746
186,EVT,1771090461.035914,1771090462.128874,1092.9601192474365
187,EVT,1771090462.035846,1771090463.1367533,1100.907325744629
188,EVT,1771090463.036571,1771090464.1448505,1108.2794666290283
189,EVT,1771090464.036445,1771090465.0519412,1015.4962539672852
190,EVT,1771090465.03565,1771090466.0590057,1023.3557224273682
191,EVT,1771090466.036225,1771090467.0664375,1030.21240234375
192,EVT,1771090467.037193,1771090468.0734584,1036.2653732299805
193,EVT,1771090468.036948,1771090469.0806115,1043.663501739502
194,EVT,1771090469.037156,1771090470.0874279,1050.27174949646
195,EVT,1771090470.035722,1771090471.0934231,1057.7011108398438
196,EVT,1771090471.035932,1771090472.1004257,1064.4936561584473
197,EVT,1771090472.035677,1771090473.1087224,1073.0454921722412
198,EVT,1771090473.036678,1771090474.11704,1080.3618431091309
199,EVT,1771090474.036091,1771090475.1242297,1088.1385803222656
200,EVT,1771090475.035752,1771090476.1321661,1096.4140892028809
